"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"52","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 08:21:14,FALSE,NA,"857872319221387265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lachlanmartin",174,TRUE,FALSE,NA,NA
"53","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 08:15:43,FALSE,NA,"857870931024150530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reilasulegolasu",174,TRUE,FALSE,NA,NA
"54","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 06:35:34,FALSE,NA,"857845730299572224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","h26batgirl",119,TRUE,FALSE,NA,NA
"55","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 06:35:26,FALSE,NA,"857845695113572352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","h26batgirl",174,TRUE,FALSE,NA,NA
"56","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 06:04:31,FALSE,NA,"857837914255876096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kawaiichan72",174,TRUE,FALSE,NA,NA
"57","RT @cutiebatata: i'm love this movie?? also these two were a blessing #legobatman #LEGOBatmanMovie https://t.co/FjwnFXpd1L",FALSE,0,NA,2017-04-28 05:48:27,FALSE,NA,"857833871823355904",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","MitsTrivedi1",15,TRUE,FALSE,NA,NA
"58","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 05:42:14,FALSE,NA,"857832308426059777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mustang_matt007",174,TRUE,FALSE,NA,NA
"59","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 05:36:03,FALSE,NA,"857830749851926528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sdctenor",174,TRUE,FALSE,NA,NA
"60","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 05:14:31,FALSE,NA,"857825334175162368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SalemsJoker",174,TRUE,FALSE,NA,NA
"61","LEGO Videos on Youtube https://t.co/8MykiDTBBN #LEGO #LEGOBatmanMovie #LEGODimensions #LEGOWorlds #Lego #Minifigures #Minifigure #LegoBatman",FALSE,0,NA,2017-04-28 05:10:42,FALSE,NA,"857824371079090177",NA,"<a href=""http://example.com"" rel=""nofollow"">Twitter Tobor</a>","VOETBALSHIRTS15",0,FALSE,FALSE,NA,NA
